dataset,backbone,phase,seed,group,trace_file,mse,mae,static_mse,static_mae,elf_mse,elf_mae,independent_mse,mse_vs_static_pct,mae_vs_static_pct,mse_vs_elf_pct,mae_vs_elf_pct,mse_vs_independent_pct
ETTh1,dlinear,legacy,0,real,real_losses_legacy_ETTh1_dlinear_s0.npz,0.3576488706541107,0.3857676556717927,0.395573095536641,0.40365590408958146,0.36782380768535755,0.386766678781191,0.3598430023973031,9.587159822151614,4.431558720325047,2.7662529772816247,0.25830123539763994,0.6097469531364808
ETTh1,dlinear,legacy,1,real,real_losses_legacy_ETTh1_dlinear_s1.npz,0.3576488649314493,0.38626104391934774,0.3987785825318127,0.4061631936103853,0.3671277386366387,0.38647619766997193,0.35985558147594704,10.313923415654413,4.900037719845384,2.5819007140103434,0.055670634290372334,0.613222819956516
ETTh1,dlinear,legacy,2,real,real_losses_legacy_ETTh1_dlinear_s2.npz,0.3591213812014803,0.38674014969344944,0.39410475907167297,0.40177769766044624,0.36625319003280193,0.38523717694856574,0.3609805499007249,8.876669734361286,3.7427532823649856,1.9472345976516703,-0.3901421863768739,0.5150329289918654
ETTh1,patchtst,legacy,0,real,real_losses_legacy_ETTh1_patchtst_s0.npz,0.3761294843249171,0.4067127676819944,0.42938427363378523,0.43678870818430804,0.3661363202808822,0.39235897495746014,0.37925484011986804,12.402594267876765,6.8856955179397055,-2.7293561142387013,-3.6583316913014308,0.8240780246767887
ETTh1,patchtst,legacy,1,real,real_losses_legacy_ETTh1_patchtst_s1.npz,0.3842848154011281,0.41307752994909347,0.4555890611533524,0.4470102138935319,0.3665370002740851,0.39178467755051427,0.3886789629608472,15.651000393142267,7.591031007743476,-4.842025529147587,-5.434835413090866,1.130533931202693
ETTh1,patchtst,legacy,2,real,real_losses_legacy_ETTh1_patchtst_s2.npz,0.38854523669285057,0.4130751330611025,0.4620188900151995,0.45323865486645365,0.3685403551937885,0.3930480235587961,0.39209221868108185,15.902737942150335,8.861451108397912,-5.428138660294857,-5.095333980050043,0.9046295282682748
ETTh2,dlinear,legacy,0,real,real_losses_legacy_ETTh2_dlinear_s0.npz,0.13360941200804416,0.24263186643429888,0.1415501291321893,0.253184984206867,0.13460772923520892,0.24361254521258824,0.1338555571689263,5.609826831545705,4.168145202460205,0.7416492595461066,0.4025567638290428,0.18388863793791232
ETTh2,dlinear,legacy,1,real,real_losses_legacy_ETTh2_dlinear_s1.npz,0.13273333075367655,0.24111298886087115,0.1369262160584144,0.24642911883046062,0.1332372695120899,0.24186640290810263,0.13309187369106443,3.062149400921965,2.1572653405650843,0.37822657298423046,0.3115000835886006,0.26939506330802
ETTh2,dlinear,legacy,2,real,real_losses_legacy_ETTh2_dlinear_s2.npz,0.1345799786776162,0.24333362517755644,0.14446592109585726,0.2566657938040532,0.1345245295648855,0.24424280171575696,0.1346634645191887,6.843096519407821,5.194369077741213,-0.041218588840297166,0.37224292049294894,0.06199591097004742
ETTh2,patchtst,legacy,0,real,real_losses_legacy_ETTh2_patchtst_s0.npz,0.14434366299050835,0.2574588587239181,0.1845296180249207,0.29120832876985486,0.1385505546090412,0.24897992380114845,0.14548989195836348,21.77750946679207,11.589459061320095,-4.181223523654598,-3.4054693219126797,0.7878409643627737
ETTh2,patchtst,legacy,1,real,real_losses_legacy_ETTh2_patchtst_s1.npz,0.14744957950267648,0.26289500383541414,0.18481132719422727,0.3006248746049979,0.13821287517419298,0.25022037187951474,0.14811506990506823,20.21615680097655,12.550481998257279,-6.682955055266926,-5.0653877063224995,0.4493063418990917
ETTh2,patchtst,legacy,2,real,real_losses_legacy_ETTh2_patchtst_s2.npz,0.14458888858304053,0.26036049918270515,0.233567280715134,0.35752235531248133,0.1399525551700681,0.25361660145478965,0.14529444949666415,38.0954009738266,27.176442168170123,-3.312789400192395,-2.6590915930705394,0.48560761685518816
ETTm1,dlinear,legacy,0,real,real_losses_legacy_ETTm1_dlinear_s0.npz,0.24899954654064796,0.32835300034881326,0.2635142382218694,0.33889719042470323,0.23919915094717517,0.31925122393535166,0.25319442285325977,5.5081242589254735,3.1113241342237363,-4.097169891559149,-2.8509762002681294,1.6567806926154005
ETTm1,dlinear,legacy,1,real,real_losses_legacy_ETTm1_dlinear_s1.npz,0.24707154790755884,0.3268254247306576,0.26235662549979055,0.3376587980789954,0.23881642035074901,0.3187637994463093,0.251542438732508,5.826068834020703,3.2083788161217486,-3.456683399192384,-2.529027856472821,1.7773902676134545
ETTm1,dlinear,legacy,2,real,real_losses_legacy_ETTm1_dlinear_s2.npz,0.24546187683393597,0.3251938778036383,0.26127978806106344,0.3365830644421779,0.2389989309213963,0.318824275717462,0.25075099504076,6.054012575756795,3.3837669929754233,-2.7041735658078103,-1.9978409962172705,2.109310954464705
ETTm1,patchtst,legacy,0,real,real_losses_legacy_ETTm1_patchtst_s0.npz,0.2797742870956254,0.34885913733917906,0.31495305810018687,0.36252751994095495,0.23420299636298084,0.31765062760406837,0.2849517998209573,11.169528315350108,3.7703020736197024,-19.458030614610777,-9.824790830890517,1.8169784253284527
ETTm1,patchtst,legacy,1,real,real_losses_legacy_ETTm1_patchtst_s1.npz,0.2735174361188676,0.34631888959382984,0.33196715011151207,0.3747531882814636,0.241814017544385,0.32209087826702104,0.28093556033558753,17.607077680129034,7.587473456337291,-13.110662027135556,-7.522104151836051,2.6405073846325178
ETTm1,patchtst,legacy,2,real,real_losses_legacy_ETTm1_patchtst_s2.npz,0.27102311985252703,0.3395643945429407,0.32150111100806034,0.36141507005456525,0.23645534218978892,0.3177344562654804,0.27342281818705266,15.700720596971053,6.04586729278489,-14.619156980176218,-6.870497626867533,0.877651086488318
ETTm2,dlinear,legacy,0,real,real_losses_legacy_ETTm2_dlinear_s0.npz,0.08904095096443312,0.19737437583217451,0.09711361918486906,0.20833024552107504,0.08586067904707548,0.1913043022531826,0.09365321911486665,8.31260155701592,5.258895395384256,-3.703991108216109,-3.1729937630772476,4.924836747764683
ETTm2,dlinear,legacy,1,real,real_losses_legacy_ETTm2_dlinear_s1.npz,0.08982130471795415,0.1984785017541972,0.09663709859275904,0.2062022960647236,0.08596964032028905,0.1912215578688467,0.09405306192870763,7.052978591097315,3.7457363268651567,-4.480261151861642,-3.795044850710738,4.4993295528870325
